2023-09-26 10:05:41 - ID: Krimz-50372, Name: Krimz, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Paynn-8506, Name: Paynn, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Moricette-36904, Name: Moricette, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Tyrandka-31405, Name: Tyrandka, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Remstor-6598, Name: Remstor, Level: 11, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ziepeltriene-34662, Name: Ziepeltriene, Level: 14, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Heiltdichnit-7589, Name: Heiltdichnit, Level: 18, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Slaythree-25698, Name: Slaythree, Level: 20, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Havaldhc-62973, Name: Havaldhc, Level: 19, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Eritrea-17726, Name: Eritrea, Level: 22, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Urr-2285, Name: Urr, Level: 30, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Popihunt-49973, Name: Popihunt, Level: 7, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Balton-42714, Name: Balton, Level: 24, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Mayaxd-26869, Name: Mayaxd, Level: 1, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Gangganggang-48711, Name: Gangganggang, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nikorj-42099, Name: Nikorj, Level: 27, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Pupille-38858, Name: Pupille, Level: 14, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Gässlbräu-36623, Name: Gässlbräu, Level: 9, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Highdmglowiq-2334, Name: Highdmglowiq, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Turborg-6403, Name: Turborg, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Holytiz-16681, Name: Holytiz, Level: 18, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Befii-37777, Name: Befii, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Mambaout-52478, Name: Mambaout, Level: 20, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Switchflip-7459, Name: Switchflip, Level: 28, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nosekills-46520, Name: Nosekills, Level: 18, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Dadlock-47595, Name: Dadlock, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Tasra-58416, Name: Tasra, Level: 31, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Molesther-62232, Name: Molesther, Level: 9, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nekterogdø-54721, Name: Nekterogdø, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Sawc-29557, Name: Sawc, Level: 5, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Stratfender-5718, Name: Stratfender, Level: 9, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Murties-13506, Name: Murties, Level: 7, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Jarmyl-15083, Name: Jarmyl, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Taytay-38422, Name: Taytay, Level: 17, Race: Unknown, Class: Unknown
